noun_id,winner_address,winning_bid_eth
2,0xae7f458667f1b30746354abc3157907d9f6fd15e,69.69
11,0xd6ba6f10c981cc8c6c8244ec7d7dc5bd81865333,113.33
26,0xbb67d2ab6251a6bd5276759cb431088c5487a3b2,235.50
33,0xae7f458667f1b30746354abc3157907d9f6fd15e,199.69
35,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,127.00
38,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,138.00
42,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,133.70
46,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,141.00
47,0xae7f458667f1b30746354abc3157907d9f6fd15e,269.69
48,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,107.00
49,0xf8d24586f793fab81248f0b23f47e5b6bc0a6c9a,125.00
72,0xfb216faf1b1650c26b0cfdf879379ba46c3da66b,200.69
85,0x6a693a682f8cfea669c3170814d875107cb3accb,200.99
139,0xd1977351532fe19c43d8b3e209570c3df02d2241,36.44
143,0xd33f519291a5ba56da1351243789c91a9c2a319e,32.05
179,0x37b8e20646d174b00198b7e183dd1f25520c0f60,127.00
228,0xc67f7247bbdad2f71677e7117d2649a7426e2236,51.00
252,0x9298b97de93784635900163e582a5d9e570f35a5,87.00
253,0x9298b97de93784635900163e582a5d9e570f35a5,80.00
311,0x9298b97de93784635900163e582a5d9e570f35a5,80.00
371,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,120.00
379,0x2d7d54476738286552173b5957999664b9fbd467,123.11
433,0xfd4617981dfdf01a8a098bf2906d4b55af801d20,78.69
437,0x0d596a63e02b76169a94285d6e82e81282c6eb8c,69.69
453,0x9298b97de93784635900163e582a5d9e570f35a5,89.31
455,0x2a9f26da17e9af433ed65084ad3acef36b08b8a2,64.69
464,0x0d596a63e02b76169a94285d6e82e81282c6eb8c,69.00
472,0xc1a75c35f861563c446e4b146381c6934d515168,53.69
489,0xd1d1d4e36117ab794ec5d4c78cbd3a8904e691d0,44.44
506,0xc1a75c35f861563c446e4b146381c6934d515168,39.99
513,0xab039fda276a54f11ed57b47019efd75603c6966,30.60
514,0xab039fda276a54f11ed57b47019efd75603c6966,33.02
523,0x0d596a63e02b76169a94285d6e82e81282c6eb8c,29.69
528,0xab04e02792d86c522a07b19548a928d01fee2fc2,31.62
534,0xab04e02792d86c522a07b19548a928d01fee2fc2,29.43
535,0xab04e02792d86c522a07b19548a928d01fee2fc2,22.66
546,0xab04e02792d86c522a07b19548a928d01fee2fc2,29.58
553,0x8ae80e0b44205904be18869240c2ec62d2342785,35.90
556,0x8ae80e0b44205904be18869240c2ec62d2342785,31.85
561,0xab04e02792d86c522a07b19548a928d01fee2fc2,29.58
564,0xab04e02792d86c522a07b19548a928d01fee2fc2,30.89
569,0x9298b97de93784635900163e582a5d9e570f35a5,47.84
594,0x90dd9d99770fbdf2dea5cf367861e5eb41cfd222,30.11
622,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e,26.22
384,0xf6b6f07862a02c85628b3a9688beae07fea9c863,99.00
259,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,60.00
261,0x3f58588b59da010031dd8a355dcd7de229663ebf,58.00
134,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,49.69
135,0x9cb8c1463471ee4d8dd6887035f4835a1745e92a,48.00
136,0x4c00f62943546975354d3460d1759189460b44e7,60.00
263,0xf8a065f287d91d77cd626af38ffa220d9b552a2b,60.00
267,0xf6b6f07862a02c85628b3a9688beae07fea9c863,69.42
395,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,85.69
144,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,34.69
405,0xf6b6f07862a02c85628b3a9688beae07fea9c863,79.50
407,0x8e71c9644898665a91e4db3dee8bdde97b3c71bc,77.70
538,0x168cd7082a30c89af33d253bb0b27ed62b3e04a3,29.80
155,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,42.69
539,0x5d837276ec1ddcbfe3f85d9414dffe4b641ebaff,29.99
161,0x43767496ae21f1c8e7fbd70d2138e757da8b3480,45.00
34,0x28d804bf2212e220bc2b7b6252993db8286df07f,140.00
37,0xa345291396612c6dbe5180675405afdb7a38bd95,130.00
558,0xeffec2d0163343c8f26983af1f6684e0b966a6b2,29.33
559,0x8da24b480689314c6d217f2d0bad0daccc87ff44,30.50
563,0xab6ca2017548a170699890214bfd66583a0c1754,35.00
55,0x9cb8c1463471ee4d8dd6887035f4835a1745e92a,128.50
447,0xbbabf412dca36b2bfed1c22413876b2c4c99cc1e,69.23
581,0x56af52a9611afda072a73afd0e1ff4c4e35ee94a,30.00
456,0x34651fb7860616d97bd0e6a503b0a712fc0daa5f,72.09
457,0xf6b6f07862a02c85628b3a9688beae07fea9c863,63.72
332,0xc8598168d8475133de3150eff9b0ce27fb9b038d,100.00
207,0x55e1490a1878d0b61811726e2cb96560022e764c,75.00
599,0xda5921614a824a6cc187175750b8b3dcb4dbe67d,45.00
217,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,73.00
602,0x225e9b54f41f44f42150b6aaa730da5f2d23faf2,36.00
219,0x8e71c9644898665a91e4db3dee8bdde97b3c71bc,71.00
476,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,46.00
608,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e,25.50
231,0xd3e2e76e4ab0322614fe7aaa3be0b04bed83d0d0,47.00
236,0xb92480f52f33731568154fa811851a7316c503a2,48.00
111,0x0f576fe0a916ca39ee929f0cc956cfc9d2a59c12,88.69
368,0x4754b7e3dede42d71d6c92978f25f306176ec7e9,99.00
113,0xd266c194e126d4fcfc85e8c665ed7f668f6aae93,75.00
623,0x5606b493c51316a9e65c9b2a00bbf7ff92515a3e,25.00
115,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,64.99
372,0x7fa020f063b3a06153ed755cee5923039efb86a3,106.90
118,0xf504211d774c9b7d4c61959d6fe773d250a44dcf,99.99
631,0x41e72d30c967a595cc2c7dbc9e1ed98638f3b8c8,25.50
507,0xf1d4b2fc9562d64a7ade249d492996918cf65b42,36.69
383,0x7fa020f063b3a06153ed755cee5923039efb86a3,104.75
