noun_id,winner_address,winning_bid_eth
0,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
1,0x2536c09e5f5691498805884fa37811be3b2bddb4,613.37
3,0xeb1c22baacafac7836f20f684c946228401ff01c,36.69
4,0x68f9d801c96ac6ccf562f3600cef77c4504449b6,45.0
5,0xf0ccf93438aebc3065cef29e013fc5f4835c4780,50.0
6,0x2124bf73abd9a1a8d2d23633ccc28972da90c20d,85.0
7,0xca6caedcc79d4d6541b3f82dc7754a14d9b196f8,125.0
8,0x54be3a794282c030b15e43ae2bb182e14c409c5e,95.0
9,0x0c9e1b96ac2c254d099e160edfcd015d6442db86,155.0
10,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
12,0x008c84421da5527f462886cec43d2717b686a7e4,126.48
13,0x912a526852527dfb5d44c22a15b708aa493cda6b,128.13
14,0x1254958bd5073c6b238e516298f0c48f6f60a78e,144.44
15,0x2536c09e5f5691498805884fa37811be3b2bddb4,118.0
16,0xa58899bbc983781d47c7dd5a6b8aeef53cd34bbc,168.88
17,0xd049b3064990869c9f73bd7896271d83325d2067,140.0
18,0xc3b80922832450aabafe6aae8a6aaf1e5e6158ea,175.18
19,0xed345b69b68086d2dfca17fc87e0e8909b858dd3,138.72
20,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
21,0xaee8c60ff7e8947ad514c4310e0f2e203194c33f,200.0
22,0xbb34b41d5615c44e2cae4f80a447feb02b636b66,170.69
23,0x9646e0f7544b8ee3649e7ac77eef0cf5b53b748a,198.0
24,0x180e0db5c0c3204520a96c6d77c94402b5001241,194.0
25,0x32dd0756316b31d731aa6ae0f60b9b560e0ed92c,195.0
27,0x33daf8e90cd1f214cc25a1865649e847254f2ece,245.0
28,0xca04e939a0ac0626c4a4299735e353e8dc5ef3ec,180.0
29,0xd049b3064990869c9f73bd7896271d83325d2067,180.0
30,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
31,0xb6c5b1a489606028da263eda28063186f96fa921,140.0
32,0x6f9e3976fa3b5b22761fe5d635e1f0d9d9aeb85d,150.69
36,0x17beaa158e68ff9225b4c85151831c7a0d8f258d,200.0
39,0x9e3421274fb4053a83917d62bd368332e9e71fe0,170.0
40,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
41,0x26648e3f7c7b12e55f6637f4bb5bd75314af943a,144.44
43,0xd049b3064990869c9f73bd7896271d83325d2067,148.0
44,0xa8b4367f09e63a5234abd14f5ef6868b1aed0e7d,130.56
45,0xa8b4367f09e63a5234abd14f5ef6868b1aed0e7d,155.0
50,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
51,0xa387c87102fc0b51939d0cf9a86f7edd05291d5c,140.5
52,0x6c0cf880cb20eefabfb09341fba9e2bd29ad3dfa,125.0
53,0x4d9b5696a8afed6b65f92b1b86ccf90c7561ae56,165.12
54,0xa5960ad956acbb8addebdc29e5bee014f201d8bd,131.31
56,0x2e5ccffbae934a9cb7e061fca7af01946e4e550e,100.0
57,0x3509e511e9a40714b5d40348ace1e88ecf32e5a5,101.69
58,0xa8b4367f09e63a5234abd14f5ef6868b1aed0e7d,158.0
59,0xf3d5e8f1cb8cc717661d6a8e692b60cdd1b45ca2,115.0
60,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
61,0x37b45293aaf561a2cdf9e260bf984b643dd3699a,120.0
62,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,140.0
63,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,160.0
64,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,198.0
65,0xa4c8d9e4ec5f2831701a81389465498b83f9457d,192.0
66,0xef6af01be706df2e3d1dc66f8ae360c913f49a74,153.0
67,0xec7641e298af02c19171451381c570327389b0c2,200.0
68,0x3dbdf1a202d21aac3309d91dacfcef84b8873f7a,204.0
69,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,313.69
70,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
71,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,175.0
73,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,201.0
74,0x198ad6c547d20d70f2f656a4f48e6c7cfb7b4325,252.7
75,0xcc8e3600356b62baa44100a5f2e61aa2c7bc68c2,192.0
76,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,178.5
77,0x3612b2e93b49f6c797066ca8c38b7f522b32c7cb,200.69
78,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,210.0
79,0xea9e9ae3bd4a7f771eec5193c0498f90fe2d53e3,195.0
80,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
81,0xeac1c57ea577e480e8a59db6eb05d41ea0716e8b,185.0
82,0xbb34b41d5615c44e2cae4f80a447feb02b636b66,211.82
83,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,160.0
84,0x1e267dc94135ce1bcbc0d840510daf5ae6f34c44,200.0
86,0x370ceca4fc1287ed99924bba76259f6c771a6022,162.0
87,0xa96e4bb2ad4233822d8b64c511a7359d4bc55617,160.0
88,0x0f576fe0a916ca39ee929f0cc956cfc9d2a59c12,229.69
89,0x6f77c19c3d4d741c10ed8c97d897adbd7862d5fd,155.0
90,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
91,0xeac1c57ea577e480e8a59db6eb05d41ea0716e8b,146.0
92,0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,137.7
93,0x38a4d889a1979133fbc1d58f970f0953e3715c26,133.69
94,0x42f3f76ba5202d7a4c48fd428b5613c657689bcc,104.2
95,0xfe2f279d3679bac2d07cf46c93503410ef9ca448,97.69
96,0x3c339ae4cd870596e4ffc313a9a262519e7b08ec,95.0
97,0x1ff2875cd548eeae6d22f26bae2d72a50fd143c7,73.69
98,0xa4c8d9e4ec5f2831701a81389465498b83f9457d,105.77
99,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,232.0
100,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0.0
101,0xea287d45502d86bee63293e8ca38678e1d5395fd,80.0
102,0x4680cb63563472cac10236c07d288580d8d7b52a,83.87
103,0x4680cb63563472cac10236c07d288580d8d7b52a,78.23
