"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Token_ID","Method"
"0x75b65764043e3ebe08a3b9e96ffe7999427e34dbdcef945925ed613dfeacc0a3","13024962","1628966606","2021-08-14 18:43:26","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","7", "Settle Current And Create New Auction"
"0xbf6fc8c97c41bf5caf504655b1c0f54bee7fa7d84d553b41cdc04fd1d6b25fb1","13024994","1628967087","2021-08-14 18:51:27","0x2124bf73abd9a1a8d2d23633ccc28972da90c20d","0xf476cd75be8fdd197ae0b466a2ec2ae44da41897","6", "Transfer From"
"0xe8c77346fa0ae3e1c9e86f1617de3662c7d9efb61a070b98f93cc93419625eb0","13031693","1629056139","2021-08-15 19:35:39","0x830bd73e4184cef73443c15111a1df14e495c706","0xca6caedcc79d4d6541b3f82dc7754a14d9b196f8","7", "Settle Current And Create New Auction"
"0xe8c77346fa0ae3e1c9e86f1617de3662c7d9efb61a070b98f93cc93419625eb0","13031693","1629056139","2021-08-15 19:35:39","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","8", "Settle Current And Create New Auction"
"0xe8c77346fa0ae3e1c9e86f1617de3662c7d9efb61a070b98f93cc93419625eb0","13031693","1629056139","2021-08-15 19:35:39","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","8", "Settle Current And Create New Auction"
"0x3e00b4e2bde2dd27c248395fbc841c050d96d52b44e54ddeb6578d658e2a3ea1","13038190","1629142627","2021-08-16 19:37:07","0x830bd73e4184cef73443c15111a1df14e495c706","0x54be3a794282c030b15e43ae2bb182e14c409c5e","8", "Settle Current And Create New Auction"
"0x3e00b4e2bde2dd27c248395fbc841c050d96d52b44e54ddeb6578d658e2a3ea1","13038190","1629142627","2021-08-16 19:37:07","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","9", "Settle Current And Create New Auction"
"0x3e00b4e2bde2dd27c248395fbc841c050d96d52b44e54ddeb6578d658e2a3ea1","13038190","1629142627","2021-08-16 19:37:07","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","9", "Settle Current And Create New Auction"
"0xeff78d92793a9a0636b8072c955e5bf42160f87e231487beb15029e817dbfe5b","13044794","1629230568","2021-08-17 20:02:48","0x830bd73e4184cef73443c15111a1df14e495c706","0x0c9e1b96ac2c254d099e160edfcd015d6442db86","9", "Settle Current And Create New Auction"
"0xeff78d92793a9a0636b8072c955e5bf42160f87e231487beb15029e817dbfe5b","13044794","1629230568","2021-08-17 20:02:48","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","10", "Settle Current And Create New Auction"
"0xeff78d92793a9a0636b8072c955e5bf42160f87e231487beb15029e817dbfe5b","13044794","1629230568","2021-08-17 20:02:48","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x2573c60a6d127755aa2dc85e342f7da2378a0cc5","10", "Settle Current And Create New Auction"
"0xeff78d92793a9a0636b8072c955e5bf42160f87e231487beb15029e817dbfe5b","13044794","1629230568","2021-08-17 20:02:48","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","11", "Settle Current And Create New Auction"
"0xeff78d92793a9a0636b8072c955e5bf42160f87e231487beb15029e817dbfe5b","13044794","1629230568","2021-08-17 20:02:48","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","11", "Settle Current And Create New Auction"
"0x3c47ddb8722acecdfdca3cf129141e5dd4e29bd339c493ca7ba8174de11da77a","13051270","1629317081","2021-08-18 20:04:41","0x830bd73e4184cef73443c15111a1df14e495c706","0xd6ba6f10c981cc8c6c8244ec7d7dc5bd81865333","11", "Settle Current And Create New Auction"
"0x3c47ddb8722acecdfdca3cf129141e5dd4e29bd339c493ca7ba8174de11da77a","13051270","1629317081","2021-08-18 20:04:41","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","12", "Settle Current And Create New Auction"
"0x3c47ddb8722acecdfdca3cf129141e5dd4e29bd339c493ca7ba8174de11da77a","13051270","1629317081","2021-08-18 20:04:41","0x0bc3807ec262cb779b38d65b38158acc3bfede10","0x830bd73e4184cef73443c15111a1df14e495c706","12", "Settle Current And Create New Auction"
"0x14292770d0867c9d78234a11a7d5afe558dab4acf7269eb600674a034c54c350","13051281","1629317243","2021-08-18 20:07:23","0xd6ba6f10c981cc8c6c8244ec7d7dc5bd81865333","0xaa26f57cafcf46ff37a190c4a74984ce80af8d3d","11", "Finalize"
"0x82e72f22d5724c0f0085a54b737088bf14af89120d64cd3eaf95970d87d86c1e","13057906","1629405025","2021-08-19 20:30:25","0x830bd73e4184cef73443c15111a1df14e495c706","0x008c84421da5527f462886cec43d2717b686a7e4","12", "Settle Current And Create New Auction"
"0x82e72f22d5724c0f0085a54b737088bf14af89120d64cd3eaf95970d87d86c1e","13057906","1629405025","2021-08-19 20:30:25","0x0000000000000000000000000000000000000000","0x0bc3807ec262cb779b38d65b38158acc3bfede10","13", "Settle Current And Create New Auction"
